,displacement,label
420,0.019,0
421,0.04,0
422,0.04,0
423,0.031,0
424,0.031,0
425,0.038,0
426,0.038,0
427,0.045,0
428,0.045,0
429,0.03,0
430,0.03,0
431,0.025,0
432,0.025,0
433,0.025,0
434,0.025,0
435,0.05,0
436,0.05,0
437,0.052000000000000005,0
438,0.052000000000000005,0
439,0.052000000000000005,0
440,0.048,0
441,0.048,0
442,0.05,0
443,0.05,0
444,0.076,0
445,0.076,0
446,0.057,0
447,0.057,0
448,0.054000000000000006,0
449,0.054000000000000006,0
450,0.022,0
451,0.022,0
452,0.073,0
453,0.055,0
454,0.055,0
455,0.042,0
456,0.042,0
457,0.042,0
458,0.036000000000000004,0
459,0.073,0
460,0.066,0
461,0.057,0
462,0.057,0
463,0.03,0
464,0.03,0
465,0.085,0
466,0.085,0
467,0.048,0
468,0.048,0
469,0.036000000000000004,0
470,0.036000000000000004,0
471,0.055,0
472,0.055,0
473,0.07200000000000001,0
474,0.07200000000000001,0
475,0.091,0
476,0.091,0
477,0.055,0
478,0.063,0
479,0.063,0
480,0.045,0
481,0.045,0
482,0.039,0
483,0.057,0
484,0.039,0
485,0.039,0
486,0.039,0
487,0.039,0
488,0.066,0
489,0.066,0
490,0.055,0
491,0.055,0
492,0.059,0
493,0.059,0
494,0.033,0
495,0.068,0
496,0.068,0
497,0.084,0
498,0.084,0
499,0.044,0
500,0.044,0
501,0.048,0
502,0.048,0
503,0.102,0
504,0.102,0
505,0.057,0
506,0.057,0
507,0.057,0
508,0.069,0
509,0.114,0
510,0.114,0
511,0.068,0
512,0.068,0
513,0.065,0
514,0.065,0
515,0.062,0
516,0.062,0
517,0.048,0
518,0.048,0
519,0.1,0
520,0.1,0
521,0.062,0
522,0.062,0
523,0.062,0
524,0.083,0
525,0.083,0
526,0.06,0
527,0.07400000000000001,0
528,0.07400000000000001,0
529,0.041,0
530,0.041,0
531,0.05,0
532,0.05,0
533,0.065,0
534,0.065,0
535,0.059,0
536,0.059,0
537,0.066,0
538,0.066,0
539,0.046,0
540,0.046,0
541,0.057,0
542,0.057,0
543,0.039,0
544,0.039,0
545,0.068,0
546,0.068,0
547,0.062,0
548,0.076,0
549,0.076,0
550,0.059,0
551,0.059,0
552,0.068,0
553,0.068,0
554,0.07200000000000001,0
555,0.033,0
556,0.033,0
557,0.05,0
558,0.05,0
559,0.083,0
560,0.083,0
561,0.021,0
562,0.021,0
563,0.041,0
564,0.041,0
565,0.076,0
566,0.076,0
567,0.05,0
568,0.05,0
569,0.068,0
570,0.068,0
571,0.105,0
572,0.105,0
573,0.029,0
574,0.029,0
575,0.057,0
576,0.057,0
577,0.06,0
578,0.06,0
579,0.068,0
580,0.068,0
581,0.085,0
582,0.085,0
583,0.03,0
584,0.03,0
585,0.042,0
586,0.042,0
587,0.034,0
588,0.034,0
589,0.057,0
590,0.057,0
591,0.063,0
592,0.063,0
593,0.029,0
594,0.029,0
595,0.052000000000000005,0
596,0.052000000000000005,0
597,0.065,0
598,0.065,0
599,0.037000000000000005,0
600,0.037000000000000005,0
601,0.052000000000000005,0
602,0.052000000000000005,0
603,0.078,0
604,0.078,0
605,0.052000000000000005,0
606,0.052000000000000005,0
607,0.03,0
608,0.03,0
609,0.044,0
610,0.044,0
611,0.062,0
612,0.046,0
613,0.046,0
614,0.041,0
615,0.041,0
616,0.021,0
617,0.046,0
618,0.039,0
619,0.039,0
620,0.034,0
621,0.057,0
622,0.057,0
623,0.041,0
624,0.041,0
625,0.062,0
626,0.062,0
627,0.048,0
628,0.048,0
629,0.035,0
630,0.036000000000000004,0
631,0.036000000000000004,0
632,0.044,0
633,0.044,0
634,0.022,0
635,0.022,0
636,0.023,0
637,0.023,0
638,0.035,0
639,0.035,0
640,0.021,0
641,0.021,0
642,0.066,0
643,0.066,0
644,0.066,0
645,0.066,0
646,0.063,0
647,0.063,0
648,0.019,0
649,0.019,0
650,0.045,0
651,0.045,0
652,0.048,0
653,0.048,0
654,0.042,0
655,0.042,0
656,0.057,0
657,0.057,0
658,0.057,0
659,0.046,0
660,0.046,0
661,0.026,0
662,0.026,0
663,0.063,0
664,0.063,0
665,0.028,0
666,0.028,0
667,0.026,0
668,0.026,0
669,0.042,0
670,0.042,0
671,0.042,0
672,0.042,0
673,0.042,0
674,0.044,0
675,0.044,0
676,0.029,0
677,0.029,0
678,0.048,0
679,0.048,0
680,0.046,0
681,0.046,0
682,0.023,0
683,0.023,0
684,0.041,0
685,0.041,0
686,0.04,0
687,0.04,0
688,0.066,0
689,0.066,0
690,0.038,0
691,0.038,0
692,0.044,0
693,0.044,0
694,0.025,0
695,0.025,0
696,0.039,0
697,0.039,0
698,0.033,0
699,0.033,0
700,0.033,0
701,0.033,0
702,0.019,0
703,0.019,0
704,0.03,0
705,0.03,0
706,0.025,0
707,0.029,0
708,0.041,0
709,0.041,0
710,0.024,0
711,0.024,0
712,0.021,0
713,0.021,0
714,0.02,0
715,0.02,0
716,0.033,0
717,0.033,0
718,0.019,0
719,0.019,0
720,0.025,0
721,0.025,0
722,0.02,0
723,0.02,0
724,0.052000000000000005,0
725,0.052000000000000005,0
726,0.056,0
727,0.056,0
728,0.05,0
729,0.05,0
730,0.042,0
731,0.042,0
732,0.035,0
733,0.035,0
734,0.046,0
735,0.046,0
736,0.057,0
737,0.057,0
738,0.036000000000000004,0
739,0.036000000000000004,0
740,0.046,0
741,0.046,0
742,0.048,0
743,0.048,0
744,0.046,0
745,0.04,0
746,0.04,0
747,0.054000000000000006,0
748,0.045,0
749,0.045,0
750,0.06,0
751,0.064,0
752,0.064,0
753,0.031,0
754,0.031,0
755,0.05,0
756,0.05,0
757,0.063,0
758,0.063,0
759,0.066,0
760,0.066,0
761,0.056,0
762,0.056,0
763,0.078,0
764,0.078,0
765,0.068,0
766,0.068,0
767,0.059,0
768,0.059,0
